Overall Qual,Total Bsmt SF,1st Flr SF,Gr Liv Area,Garage Cars,Garage Area,SalePrice
4,622.0,741,1363,2.0,528.0,125500
4,777.0,1246,2290,2.0,560.0,122500
6,738.0,868,1470,2.0,624.0,140750
5,988.0,1030,1612,1.0,363.0,128500
7,1108.0,1160,2068,1.0,315.0,209500
4,765.0,765,765,1.0,200.0,87000
6,608.0,608,1132,1.0,240.0,134000
6,572.0,848,1196,2.0,576.0,128000
5,835.0,955,1453,1.0,240.0,132000
6,780.0,780,1416,1.0,312.0,139900
5,528.0,548,1040,2.0,624.0,123900
5,928.0,928,1536,2.0,480.0,138400
6,1124.0,1068,1068,1.0,288.0,109500
7,576.0,902,1710,2.0,480.0,140000
4,888.0,888,1962,2.0,572.0,149500
6,780.0,780,1560,0.0,0.0,159900
6,662.0,662,1324,1.0,180.0,122000
5,816.0,816,816,2.0,516.0,110000
4,0.0,372,1092,0.0,0.0,55000
5,360.0,1032,1812,2.0,672.0,140000
7,1032.0,1207,2403,1.0,349.0,244400
5,1422.0,1675,1675,1.0,365.0,173000
5,689.0,725,1224,1.0,180.0,107500
5,1212.0,1212,1392,0.0,0.0,100000
6,600.0,600,919,1.0,231.0,95000
4,707.0,942,1884,0.0,0.0,93369
5,856.0,936,1680,2.0,450.0,114900
5,780.0,780,1020,0.0,0.0,94000
4,1832.0,1832,1832,0.0,0.0,136000
4,1768.0,1768,1768,0.0,0.0,136500
5,1039.0,1039,1039,2.0,504.0,131500
5,1392.0,1392,1392,2.0,528.0,121500
5,912.0,912,912,1.0,336.0,125000
5,1060.0,1060,1060,1.0,270.0,154000
5,864.0,892,892,1.0,416.0,137900
6,663.0,663,1352,1.0,299.0,158000
5,864.0,864,864,1.0,280.0,137250
5,1319.0,1373,1373,2.0,591.0,160250
5,720.0,720,1440,2.0,480.0,163000
6,672.0,672,1386,2.0,440.0,158900
7,1306.0,1306,2260,2.0,533.0,328000
7,1420.0,1483,1483,2.0,690.0,270000
4,660.0,756,756,2.0,440.0,85000
4,1067.0,1067,1067,2.0,436.0,128000
7,1332.0,1332,1524,2.0,586.0,260000
6,1117.0,1117,1981,2.0,522.0,230000
3,972.0,1052,1610,1.0,480.0,124000
5,458.0,835,835,1.0,366.0,83000
6,663.0,1074,1074,1.0,467.0,144500
5,1144.0,1144,1144,1.0,596.0,129000
4,756.0,1169,1531,1.0,209.0,127000
5,1172.0,1172,1172,1.0,366.0,128000
6,1212.0,1212,1212,2.0,460.0,186000
7,1508.0,1508,1508,2.0,572.0,308030
5,1250.0,1298,1298,2.0,504.0,114000
4,0.0,930,930,1.0,308.0,84900
6,741.0,977,1732,2.0,476.0,178000
7,1433.0,1433,1433,2.0,528.0,270000
6,946.0,964,1802,4.0,1017.0,218000
7,1050.0,1062,1949,2.0,574.0,236000
6,936.0,996,996,2.0,564.0,147000
8,1694.0,1694,1694,3.0,776.0,245350
7,1187.0,1208,1208,2.0,632.0,206000
7,1226.0,1226,1226,3.0,740.0,198900
7,1222.0,1222,1222,2.0,615.0,187000
7,1673.0,1699,3222,3.0,594.0,320000
6,676.0,831,1445,2.0,484.0,138500
6,1010.0,1052,1052,2.0,440.0,155000
5,870.0,965,965,2.0,580.0,159000
7,878.0,892,1692,2.0,513.0,191000
6,804.0,804,1682,2.0,523.0,200500
5,1026.0,1026,1026,1.0,308.0,150000
6,689.0,689,1392,1.0,299.0,161750
5,894.0,894,894,1.0,308.0,128200
5,876.0,876,876,2.0,484.0,127000
8,1978.0,1978,1978,3.0,850.0,318000
8,1581.0,1601,1601,2.0,670.0,272000
7,941.0,941,1829,2.0,613.0,237000
7,1040.0,1044,2098,2.0,621.0,240000
7,1649.0,1661,1661,2.0,598.0,224900
6,848.0,848,848,2.0,420.0,143750
6,848.0,848,848,2.0,420.0,143000
8,1657.0,1668,1668,2.0,502.0,232000
7,1473.0,1484,1484,2.0,606.0,213000
7,1414.0,1414,1414,2.0,494.0,185500
3,0.0,640,640,1.0,240.0,84900
5,381.0,992,992,1.0,319.0,155891
5,0.0,1664,1664,0.0,0.0,100000
5,1196.0,1196,1196,1.0,336.0,144000
4,744.0,792,1120,2.0,480.0,64000
6,1008.0,1096,1096,1.0,352.0,125200
6,1029.0,1117,1117,2.0,672.0,107000
4,960.0,960,960,0.0,0.0,90000
4,1121.0,1121,1121,2.0,440.0,140000
6,735.0,798,1487,1.0,220.0,113000
4,672.0,672,924,1.0,280.0,80000
5,1216.0,1526,1526,1.0,364.0,144500
5,1107.0,1296,1296,1.0,260.0,104000
6,806.0,841,1647,1.0,216.0,128000
3,864.0,864,864,1.0,200.0,58500
5,1026.0,1026,1691,1.0,308.0,127000
6,856.0,856,856,2.0,399.0,126000
4,0.0,862,2650,0.0,0.0,160000
5,894.0,894,1666,0.0,0.0,100000
6,804.0,1699,2447,1.0,336.0,169000
7,1528.0,1225,2133,1.0,312.0,257500
5,1032.0,1102,2177,2.0,484.0,215000
7,1152.0,1188,2340,1.0,252.0,266500
7,1902.0,1902,1902,2.0,567.0,335000
7,423.0,896,1652,2.0,473.0,203135
8,982.0,1034,1034,2.0,598.0,185000
8,1191.0,1191,1191,2.0,531.0,162500
7,1501.0,1801,1801,2.0,484.0,289000
4,796.0,796,1154,1.0,240.0,125500
2,480.0,540,540,1.0,200.0,82000
6,629.0,727,1107,1.0,625.0,110000
4,698.0,698,1128,2.0,528.0,68400
4,859.0,859,1178,1.0,384.0,102776
5,540.0,1044,1044,2.0,504.0,55993
4,756.0,952,952,1.0,330.0,50138
8,1594.0,1646,1646,2.0,525.0,246000
8,1049.0,1036,1916,3.0,741.0,254900
6,1243.0,1285,1285,2.0,473.0,190000
7,1560.0,1560,1560,2.0,573.0,201000
6,1012.0,1034,1034,3.0,888.0,169900
6,1958.0,2048,2048,2.0,776.0,170000
5,747.0,1687,1687,2.0,572.0,160000
7,1336.0,1346,1346,3.0,660.0,220000
7,1214.0,1214,1214,2.0,520.0,179781
5,384.0,744,1444,2.0,400.0,174000
8,774.0,774,1968,3.0,680.0,269500
7,817.0,824,1894,2.0,510.0,214900
8,967.0,993,1908,2.0,431.0,202900
9,2002.0,2018,2018,3.0,746.0,378500
5,1068.0,1264,1264,2.0,528.0,169000
5,1430.0,1430,1430,2.0,624.0,173500
6,912.0,912,1824,0.0,0.0,139000
5,1344.0,1344,1344,2.0,686.0,166500
4,546.0,546,1092,1.0,286.0,83500
5,945.0,945,945,1.0,253.0,119500
5,536.0,536,1112,1.0,336.0,85000
4,546.0,546,1092,0.0,0.0,76000
4,630.0,630,630,0.0,0.0,75500
4,546.0,546,1092,0.0,0.0,88250
4,546.0,546,1092,1.0,286.0,85500
5,864.0,874,874,1.0,352.0,130000
5,1188.0,1188,1188,1.0,312.0,157900
5,833.0,833,833,2.0,495.0,149900
5,1216.0,1216,2432,2.0,616.0,159000
5,624.0,624,1274,2.0,576.0,136000
5,864.0,864,1479,1.0,275.0,161000
8,1679.0,1803,1803,2.0,482.0,285000
6,1152.0,1152,1797,2.0,616.0,231000
6,882.0,882,882,1.0,502.0,124500
6,1434.0,1434,1434,2.0,528.0,157000
8,1952.0,2000,2704,2.0,538.0,345000
6,945.0,945,1608,2.0,470.0,189500
8,1008.0,1008,2283,3.0,632.0,270000
7,384.0,958,1628,2.0,390.0,189000
9,1746.0,1746,1746,3.0,758.0,377500
7,384.0,804,1474,2.0,400.0,168500
8,2208.0,2522,2522,2.0,564.0,375000
8,1501.0,1659,1659,2.0,499.0,278000
8,1418.0,1478,1478,2.0,495.0,240000
8,1587.0,1734,1734,2.0,528.0,239500
7,384.0,751,1382,2.0,396.0,177500
7,832.0,885,1718,2.0,427.0,185000
6,952.0,952,1636,2.0,440.0,191000
6,799.0,799,1571,2.0,380.0,178000
6,680.0,680,1470,2.0,420.0,185000
6,707.0,707,1516,2.0,409.0,181316
6,1181.0,1190,1190,2.0,430.0,166000
6,808.0,808,1593,2.0,389.0,178000
6,702.0,702,1481,2.0,343.0,174000
6,1158.0,1167,1167,2.0,400.0,173000
7,978.0,1005,1983,2.0,490.0,225000
7,1424.0,1442,1442,2.0,500.0,180500
8,1220.0,1360,1360,2.0,565.0,187500
9,2216.0,2234,2234,3.0,1166.0,501837
8,2046.0,2046,2046,3.0,834.0,372500
7,1530.0,1530,1530,2.0,430.0,260000
5,1122.0,946,1934,2.0,567.0,185000
7,845.0,1153,2353,2.0,484.0,260000
6,1362.0,1586,1586,2.0,435.0,181000
7,1386.0,1411,1411,2.0,544.0,82500
6,1602.0,1602,1602,2.0,529.0,215000
7,832.0,1154,2050,2.0,529.0,154000
6,1427.0,1671,1671,2.0,484.0,200000
7,1043.0,1539,2673,2.0,441.0,249000
7,1372.0,1472,1472,2.0,588.0,187500
6,1140.0,1707,1707,2.0,479.0,184000
8,2524.0,2524,2524,2.0,542.0,278000
7,1271.0,1601,1601,2.0,478.0,157000
7,1090.0,1370,1370,2.0,479.0,152000
5,780.0,1088,1868,2.0,484.0,197500
7,926.0,1016,1884,2.0,581.0,240900
8,832.0,832,1935,2.0,552.0,263435
8,1058.0,1058,1874,2.0,588.0,220000
8,972.0,972,1811,2.0,565.0,235000
5,1621.0,1621,1621,2.0,478.0,213000
6,1116.0,1116,1116,2.0,528.0,167900
7,1176.0,1193,1193,2.0,506.0,158000
6,1064.0,1350,1350,2.0,478.0,165000
6,689.0,1378,2119,2.0,583.0,158000
5,896.0,896,1792,0.0,0.0,136000
5,1002.0,1002,1002,2.0,902.0,148500
6,1026.0,1026,1026,2.0,440.0,156000
5,1180.0,1180,1180,2.0,477.0,128000
5,1043.0,1050,1050,1.0,336.0,143000
4,864.0,864,864,2.0,576.0,76500
4,864.0,864,864,2.0,660.0,120500
4,864.0,864,864,2.0,463.0,124500
4,864.0,864,864,2.0,576.0,97000
4,864.0,864,864,2.0,576.0,130000
6,483.0,483,987,1.0,264.0,111000
5,765.0,765,1365,2.0,440.0,125000
5,630.0,630,1302,1.0,280.0,112000
6,483.0,483,987,1.0,288.0,97000
6,483.0,483,987,1.0,264.0,118000
5,630.0,630,1302,1.0,264.0,119500
6,958.0,958,958,2.0,440.0,143750
6,804.0,804,1548,2.0,440.0,146000
6,855.0,855,1456,2.0,440.0,148500
7,1057.0,1055,1055,2.0,440.0,123000
6,855.0,855,1322,2.0,440.0,147000
6,855.0,855,1456,2.0,440.0,137900
6,804.0,804,1548,2.0,440.0,147000
6,855.0,855,1441,2.0,440.0,148500
6,855.0,855,1456,2.0,440.0,138000
7,836.0,836,836,1.0,345.0,128500
5,892.0,892,892,1.0,288.0,100000
5,864.0,1120,1120,2.0,656.0,148800
10,1700.0,1718,1718,3.0,786.0,337500
9,1776.0,1794,2772,3.0,754.0,462000
9,1926.0,1966,3140,3.0,820.0,485000
10,3094.0,2402,2402,3.0,672.0,555000
9,1652.0,1652,1652,2.0,840.0,325000
8,1566.0,1600,1600,3.0,890.0,256300
8,2042.0,2042,2042,3.0,1390.0,253293
9,1365.0,1365,2690,3.0,864.0,398800
9,1104.0,1130,2184,3.0,836.0,335000
9,2020.0,2020,2020,3.0,896.0,404000
10,2006.0,2020,2020,3.0,900.0,402861
10,1722.0,1728,2296,3.0,842.0,451950
10,2630.0,2674,2674,3.0,762.0,610000
9,1734.0,1734,2822,3.0,1020.0,582933
9,1736.0,1736,1736,3.0,834.0,360000
8,1782.0,1782,1782,3.0,932.0,296000
8,1508.0,1508,2520,3.0,640.0,409900
8,1709.0,1717,1717,3.0,908.0,255500
9,1739.0,1743,1743,3.0,927.0,335000
8,1713.0,1713,1713,3.0,856.0,274900
9,1504.0,1531,1531,3.0,700.0,300000
9,1774.0,1808,1808,3.0,850.0,324000
9,1462.0,1462,2224,3.0,738.0,350000
8,1836.0,1836,1836,3.0,862.0,280000
8,3206.0,1629,1629,3.0,880.0,284000
7,1760.0,1760,1760,2.0,583.0,269500
7,1502.0,1502,1502,2.0,644.0,233170
10,2392.0,2392,2392,3.0,968.0,386250
9,2452.0,2452,2452,3.0,886.0,445000
8,1082.0,1105,2400,3.0,730.0,290000
8,1598.0,1606,1606,3.0,871.0,255900
6,1358.0,1358,1358,2.0,484.0,213000
6,1306.0,1306,1306,2.0,624.0,196000
6,1306.0,1306,1306,2.0,624.0,184500
7,1350.0,1358,1358,2.0,484.0,212500
7,1314.0,1314,1314,2.0,626.0,230000
10,2492.0,2492,2492,3.0,949.0,552000
8,2200.0,2200,2200,3.0,685.0,382500
9,1884.0,1884,1884,2.0,649.0,320000
9,1451.0,1456,1456,2.0,539.0,248500
8,1712.0,1712,1712,3.0,701.0,286500
8,1324.0,1324,1324,2.0,550.0,254000
7,1405.0,1405,1405,2.0,478.0,173000
7,764.0,764,1626,2.0,474.0,173000
7,728.0,728,1456,2.0,390.0,184000
6,745.0,745,1490,2.0,392.0,167800
6,742.0,742,1484,2.0,390.0,174000
6,684.0,684,1560,2.0,400.0,174000
7,1373.0,1555,1555,3.0,660.0,174000
7,1386.0,1569,1569,3.0,660.0,175900
7,1373.0,1555,1555,2.0,430.0,192500
7,1346.0,1504,1504,2.0,457.0,181000
7,1220.0,1220,1220,2.0,397.0,180000
7,1145.0,1145,1145,2.0,397.0,160200
7,716.0,716,1432,2.0,432.0,188500
6,1010.0,1010,2267,2.0,390.0,200000
7,384.0,744,1374,2.0,400.0,170000
7,868.0,868,1630,2.0,436.0,189500
8,408.0,779,1419,2.0,527.0,184100
7,846.0,846,1594,2.0,434.0,195500
7,782.0,806,1489,2.0,400.0,192000
7,698.0,698,1342,2.0,393.0,178000
7,1314.0,1314,1314,2.0,626.0,207500
7,952.0,980,2256,2.0,554.0,236000
8,870.0,878,2004,3.0,644.0,257500
6,992.0,1022,2054,2.0,390.0,244000
7,384.0,744,1374,2.0,400.0,167000
6,982.0,1007,1800,2.0,463.0,179000
6,794.0,819,1514,2.0,394.0,190000
7,384.0,774,1430,2.0,400.0,156000
7,1177.0,1223,2312,3.0,658.0,245000
6,841.0,892,1675,2.0,502.0,181000
7,992.0,1022,2060,2.0,390.0,214000
7,384.0,774,1430,2.0,410.0,168000
8,1252.0,1268,2365,3.0,856.0,337000
8,1462.0,1490,2794,3.0,810.0,403000
8,1455.0,1466,2687,3.0,810.0,327000
8,1284.0,1310,2450,3.0,1069.0,340000
8,1225.0,1276,2612,3.0,676.0,336000
7,1264.0,1277,2344,3.0,889.0,265000
8,2024.0,2063,2063,3.0,815.0,315000
7,1347.0,1372,2646,3.0,656.0,260000
7,1070.0,1094,2061,2.0,647.0,260000
8,1173.0,1215,2232,2.0,623.0,263550
8,1629.0,1686,2448,3.0,711.0,402000
7,973.0,979,1850,2.0,467.0,248000
8,1468.0,1468,1468,3.0,898.0,244600
8,1696.0,1696,1696,3.0,972.0,275000
8,1614.0,1658,1658,3.0,726.0,257500
8,1573.0,1578,1578,3.0,840.0,287090
8,1702.0,1702,1702,3.0,844.0,275500
8,1422.0,1432,1432,2.0,492.0,245000
7,1113.0,1113,1971,2.0,689.0,253000
9,2458.0,2490,2490,3.0,795.0,468000
7,900.0,932,1852,2.0,644.0,252678
8,768.0,786,1590,2.0,676.0,210000
6,1218.0,1218,1218,2.0,676.0,208300
7,1436.0,1436,1436,2.0,529.0,225000
8,1300.0,1314,1314,2.0,552.0,229456
7,1402.0,1402,1402,2.0,625.0,229800
9,1530.0,1530,1530,3.0,984.0,250000
9,1766.0,1766,1766,3.0,478.0,370878
8,1372.0,1448,1448,2.0,692.0,238500
10,1017.0,1026,2007,3.0,812.0,310000
8,900.0,909,1795,3.0,782.0,270000
8,1082.0,1082,1953,3.0,1043.0,252000
7,1092.0,1112,1550,2.0,438.0,241000
8,1836.0,1836,1836,2.0,517.0,264500
7,1652.0,1662,1662,3.0,711.0,291000
7,912.0,912,2094,2.0,615.0,263000
7,1221.0,1221,1221,2.0,400.0,185000
7,1553.0,1553,1553,2.0,588.0,234500
7,812.0,812,1653,2.0,628.0,209000
7,1218.0,1218,1218,2.0,576.0,159000
7,1141.0,1141,1141,2.0,484.0,152000
6,1158.0,1158,1158,0.0,0.0,143500
7,835.0,871,1812,2.0,478.0,193000
8,1512.0,1512,1512,3.0,845.0,203000
7,1176.0,1200,1200,2.0,555.0,184900
7,1114.0,1114,1114,2.0,576.0,159000
5,1114.0,1114,1114,0.0,0.0,142000
5,1114.0,1114,1114,2.0,576.0,153000
7,1450.0,1450,1450,3.0,788.0,224243
7,913.0,913,2122,2.0,559.0,220000
8,1844.0,1844,1844,2.0,620.0,257000
7,1454.0,1434,1434,2.0,527.0,189000
6,816.0,833,1730,2.0,528.0,171500
6,626.0,626,1217,1.0,288.0,120000
6,1332.0,1332,1332,2.0,542.0,145000
7,754.0,754,1540,2.0,495.0,184000
6,676.0,698,1400,2.0,465.0,162000
6,0.0,964,1882,2.0,612.0,160000
4,721.0,841,841,1.0,294.0,82000
6,784.0,784,784,2.0,360.0,76000
5,980.0,980,980,2.0,400.0,110000
5,980.0,980,980,2.0,484.0,135000
5,864.0,864,864,2.0,732.0,141000
5,864.0,864,864,1.0,440.0,122000
5,1024.0,1020,1020,1.0,288.0,124100
5,912.0,912,912,1.0,300.0,129000
5,864.0,1144,1144,1.0,264.0,131400
5,864.0,864,864,1.0,360.0,62383
5,912.0,912,912,1.0,252.0,123000
8,2014.0,2014,2014,3.0,864.0,275000
7,975.0,975,1755,2.0,524.0,235000
7,1376.0,1376,3005,3.0,704.0,280750
6,612.0,612,1224,2.0,528.0,164500
6,612.0,612,1224,2.0,528.0,173733
6,1726.0,1726,1726,2.0,561.0,222000
6,1145.0,1256,1256,2.0,641.0,195000
6,729.0,742,1471,2.0,440.0,172500
6,756.0,756,1512,2.0,440.0,180000
7,691.0,713,1452,2.0,506.0,156000
8,970.0,983,1739,2.0,480.0,172500
8,1694.0,1694,1694,2.0,642.0,318750
8,1226.0,1226,1226,2.0,484.0,211500
7,1740.0,1740,1740,2.0,540.0,241600
8,392.0,1487,2499,2.0,527.0,180500
4,1281.0,1620,1620,2.0,490.0,150000
6,727.0,829,1556,2.0,441.0,154000
6,1442.0,1442,1442,2.0,615.0,185000
6,1489.0,1489,1489,2.0,462.0,185750
7,1107.0,1107,2090,2.0,484.0,200000
7,752.0,1285,2067,2.0,784.0,206000
6,723.0,735,1395,2.0,497.0,162000
6,932.0,1271,2640,2.0,515.0,256900
6,1680.0,1724,1724,2.0,480.0,197900
5,1288.0,1336,1336,2.0,502.0,163000
6,1216.0,1216,1216,1.0,336.0,113000
7,908.0,1316,2288,2.0,520.0,230000
6,1350.0,1334,1334,2.0,630.0,167900
7,1650.0,1680,1680,2.0,583.0,213250
8,810.0,810,1665,2.0,528.0,227000
5,864.0,864,864,1.0,312.0,130000
5,1568.0,1568,1568,2.0,440.0,143000
5,925.0,925,925,1.0,429.0,117500
7,1165.0,1165,2061,2.0,498.0,168500
6,1232.0,1320,1320,2.0,495.0,172500
6,1372.0,1342,1342,2.0,457.0,161500
4,894.0,894,894,2.0,396.0,141500
5,864.0,864,864,1.0,308.0,118000
6,864.0,864,864,1.0,300.0,127500
4,1040.0,1362,1362,3.0,768.0,140000
